city,country,state
Tokyo,Japan,Tokyo
Jakarta,Indonesia,Jakarta
Delhi,India,Delhi
Guangzhou,China,Guangdong
Mumbai,India,Maharashtra
Manila,Philippines,Manila
Shanghai,China,Shanghai
Sao Paulo,Brazil,Sao Paulo
Seoul,South Korea,Seoul
Mexico City,Mexico,Ciudad de Mexico
Cairo,Egypt,Al Qahirah
New York,United States,New York
Dhaka,Bangladesh,Dhaka
Beijing,China,Beijing
Kolkata,India,West Bengal
Bangkok,Thailand,Krung Thep Maha Nakhon
Shenzhen,China,Guangdong
Moscow,Russia,Moskva
Buenos Aires,Argentina,"Buenos Aires, Ciudad Autonoma de"
Lagos,Nigeria,Lagos
Istanbul,Turkey,İstanbul
Karachi,Pakistan,Sindh
Bangalore,India,Karnataka
Ho Chi Minh City,Vietnam,Ho Chi Minh
Osaka,Japan,Osaka
Chengdu,China,Sichuan
Tehran,Iran,Tehran
Kinshasa,Congo (Kinshasa),Kinshasa
Rio de Janeiro,Brazil,Rio de Janeiro
Chennai,India,Tamil Nadu
Xi'an,China,Shaanxi
Lahore,Pakistan,Punjab
Chongqing,China,Chongqing
Los Angeles,United States,California
Baoding,China,Hebei
London,United Kingdom,"London, City of"
Paris,France,Ile-de-France
Linyi,China,Shandong
Dongguan,China,Guangdong
Hyderabad,India,Telangana
Tianjin,China,Tianjin
Lima,Peru,Lima
Wuhan,China,Hubei
Nanyang,China,Henan
Hangzhou,China,Zhejiang
Foshan,China,Guangdong
Nagoya,Japan,Aichi
Taipei,Taiwan,Taipei
Tongshan,China,Jiangsu
Luanda,Angola,Luanda
Zhoukou,China,Henan
Ganzhou,China,Jiangxi
Kuala Lumpur,Malaysia,Kuala Lumpur
Heze,China,Shandong
Quanzhou,China,Fujian
Chicago,United States,Illinois
Nanjing,China,Jiangsu
Jining,China,Shandong
Hanoi,Vietnam,Ha Noi
Pune,India,Maharashtra
Fuyang,China,Anhui
Ahmedabad,India,Gujarat
Johannesburg,South Africa,Gauteng
Bogota,Colombia,Bogota
Dar es Salaam,Tanzania,Dar es Salaam
Shenyang,China,Liaoning
Khartoum,Sudan,Khartoum
Shangqiu,China,Henan
Cangzhou,China,Hebei
Hong Kong,Hong Kong,
Shaoyang,China,Hunan
Zhanjiang,China,Guangdong
Yancheng,China,Jiangsu
Hengyang,China,Hunan
Riyadh,Saudi Arabia,Ar Riyad
Zhumadian,China,Henan
Santiago,Chile,Region Metropolitana
Xingtai,China,Hebei
Chattogram,Bangladesh,Chattogram
Bijie,China,Guizhou
Shangrao,China,Jiangxi
Zunyi,China,Guizhou
Surat,India,Gujarat
Surabaya,Indonesia,Jawa Timur
Huanggang,China,Hubei
Maoming,China,Guangdong
Nanchong,China,Sichuan
Xinyang,China,Henan
Madrid,Spain,Madrid
Baghdad,Iraq,Baghdad
Qujing,China,Yunnan
Jieyang,China,Guangdong
Singapore,Singapore,
Prayagraj,India,Uttar Pradesh
Liaocheng,China,Shandong
Dalian,China,Liaoning
Yulin,China,Guangxi
Changde,China,Hunan
Qingdao,China,Shandong
Douala,Cameroon,Littoral
Miami,United States,Florida
Nangandao,China,Henan
Pudong,China,Shanghai
Xiangyang,China,Hubei
Dallas,United States,Texas
Houston,United States,Texas
Zhengzhou,China,Henan
Lu'an,China,Anhui
Dezhou,China,Shandong
Jinan,China,Shandong
Giza,Egypt,Al Jizah
Zhaotong,China,Yunnan
Yichun,China,Jiangxi
Nairobi,Kenya,Nairobi City
Guadalajara,Mexico,Jalisco
Philadelphia,United States,Pennsylvania
Ankara,Turkey,Ankara
Tai'an,China,Shandong
Dazhou,China,Sichuan
Langfang,China,Hebei
Yongzhou,China,Hunan
Toronto,Canada,Ontario
Suihua,China,Heilongjiang
Saint Petersburg,Russia,Sankt-Peterburg
Qiqihar,China,Heilongjiang
Suzhou,China,Anhui
Monterrey,Mexico,Nuevo Leon
Belo Horizonte,Brazil,Minas Gerais
Weinan,China,Shaanxi
Rangoon,Myanmar,Yangon
Zhangzhou,China,Fujian
Yuncheng,China,Shanxi
Xianyang,China,Shaanxi
Guilin,China,Guangxi
Atlanta,United States,Georgia
Taizhou,China,Jiangsu
Kashan,Iran,Esfahan
Bozhou,China,Anhui
Abidjan,Cote d'Ivoire,Abidjan
Suqian,China,Jiangsu
Huaihua,China,Hunan
Ji'an,China,Jiangxi
Xiaoganzhan,China,Hubei
Pingdingshan,China,Henan
Jiujiang,China,Jiangxi
Alexandria,Egypt,Al Iskandariyah
Mianyang,China,Sichuan
Sydney,Australia,New South Wales
Huanglongsi,China,Henan
Washington,United States,District of Columbia
Barcelona,Spain,Catalonia
Changsha,China,Hunan
Chenzhou,China,Hunan
Anqing,China,Anhui
Jiangmen,China,Guangdong
Xinpu,China,Jiangsu
Yibin,China,Sichuan
Yangzhou,China,Jiangsu
Melbourne,Australia,Victoria
Berlin,Germany,Berlin
Hengshui,China,Hebei
Timbio,Colombia,Cauca
Kunming,China,Yunnan
Yiyang,China,Hunan
Guigang,China,Guangxi
Changchun,China,Jilin
Jiangguanchi,China,Henan
Casablanca,Morocco,Casablanca-Settat
Meizhou,China,Guangdong
Zhangjiakou,China,Hebei
Chifeng,China,Inner Mongolia
Urumqi,China,Xinjiang
Suzhou,China,Jiangsu
Izmir,Turkey,İzmir
Linfen,China,Shanxi
Shantou,China,Guangdong
Kabul,Afghanistan,Kabul
Mogadishu,Somalia,Banaadir
Luzhou,China,Sichuan
Hefei,China,Anhui
Boston,United States,Massachusetts
Liuzhou,China,Guangxi
Zhaoqing,China,Guangdong
Xiaoxita,China,Hubei
Shijiazhuang,China,Hebei
Ningbo,China,Zhejiang
Fuzhou,China,Jiangxi
Phoenix,United States,Arizona
Zhuzhou,China,Hunan
Amman,Jordan,Al ‘asimah
Chuzhou,China,Anhui
Jeddah,Saudi Arabia,Makkah al Mukarramah
Qingyuan,China,Guangdong
Loudi,China,Hunan
Binzhou,China,Shandong
Deyang,China,Sichuan
Taiyuan,China,Shanxi
Kano,Nigeria,Kano
Wuhu,China,Anhui
Nanning,China,Guangxi
Harbin,China,Heilongjiang
Abuja,Nigeria,Federal Capital Territory
Yokohama,Japan,Kanagawa
Baojishi,China,Shaanxi
Zaozhuang,China,Shandong
Xiamen,China,Fujian
Neijiang,China,Sichuan
Fuzhou,China,Fujian
Baicheng,China,Guangxi
Anshan,China,Liaoning
Medan,Indonesia,Sumatera Utara
Yulinshi,China,Shaanxi
Wenzhou,China,Zhejiang
Changzhou,China,Jiangsu
Puyang,China,Henan
Jiaozuo,China,Henan
Nanchang,China,Jiangxi
Ibadan,Nigeria,Oyo
Hechi,China,Guangxi
Detroit,United States,Michigan
Montreal,Canada,Quebec
Busan,South Korea,Busan
Hohhot,China,Inner Mongolia
Seattle,United States,Washington
Algiers,Algeria,Alger
Hanzhong,China,Shaanxi
Tangshan,China,Hebei
Shiyan,China,Hubei
Lucknow,India,Uttar Pradesh
Siping,China,Jilin
Mashhad,Iran,Khorasan-e Raẕavi
Boankra,Ghana,Ashanti
Changzhi,China,Shanxi
Dubai,United Arab Emirates,Dubayy
Qinzhou,China,Guangxi
Guiyang,China,Guizhou
Bengbu,China,Anhui
San Francisco,United States,California
Bazhou,China,Sichuan
Qincheng,China,Gansu
Suining,China,Sichuan
Wuxi,China,Jiangsu
Leshan,China,Sichuan
Putian,China,Fujian
Zhenjiang,China,Jiangsu
Faisalabad,Pakistan,Punjab
Guang'an,China,Sichuan
Tongren,China,Guizhou
Santa Cruz,Bolivia,Santa Cruz
Qinhuangdao,China,Hebei
Tongliao,China,Inner Mongolia
Jinzhou,China,Liaoning
Heyuan,China,Guangdong
San Diego,United States,California
Jaipur,India,Rajasthan
Xinzhou,China,Shanxi
Lanzhou,China,Gansu
Wuzhou,China,Guangxi
Athens,Greece,Attiki
Addis Ababa,Ethiopia,adis abeba
Chaoyang,China,Liaoning
Brasilia,Brazil,Distrito Federal
Taichung,Taiwan,Taichung
Kuwait City,Kuwait,Al ‘asimah
Budapest,Hungary,Budapest
Shaoguan,China,Guangdong
Shanwei,China,Guangdong
Quezon City,Philippines,Quezon
Rizhao,China,Shandong
Kyiv,Ukraine,"Kyiv, Misto"
Sanaa,Yemen,Amanat al ‘asimah
Meishan,China,Sichuan
Incheon,South Korea,Incheon
Guatemala City,Guatemala,Guatemala
Birmingham,United Kingdom,Birmingham
Zhongshan,China,Guangdong
Ningde,China,Fujian
Weihai,China,Shandong
Daqing,China,Heilongjiang
Bursa,Turkey,Bursa
Salvador,Brazil,Bahia
Rome,Italy,Lazio
Haikou,China,Hainan
La Paz,Bolivia,La Paz
Xiangtan,China,Hunan
Pyongyang,North Korea,P’yongyang
Minneapolis,United States,Minnesota
Omdurman,Sudan,Khartoum
Malang,Indonesia,Jawa Timur
Mudanjiang,China,Heilongjiang
Stuttgart,Germany,Baden-Wurttemberg
Brooklyn,United States,New York
Kaohsiung,Taiwan,Kaohsiung
Guayaquil,Ecuador,Guayas
Lisbon,Portugal,Lisboa
Longyan,China,Fujian
Tieling,China,Liaoning
Manchester,United Kingdom,Manchester
Baotou,China,Inner Mongolia
Handan,China,Hebei
Cawnpore,India,Uttar Pradesh
Dingxi,China,Gansu
Nanping,China,Fujian
Tampa,United States,Florida
Zigong,China,Sichuan
Maracaibo,Venezuela,Zulia
Chaozhou,China,Guangdong
Mbuji-Mayi,Congo (Kinshasa),Kasai Oriental
Denver,United States,Colorado
Gulou,China,Fujian
Weifang,China,Shandong
Huai'an,China,Jiangsu
Zibo,China,Shandong
Ankang,China,Shaanxi
Baoshan,China,Yunnan
Antananarivo,Madagascar,Antananarivo
Huludao,China,Liaoning
Munich,Germany,Bavaria
Yanjiang,China,Sichuan
Santo Domingo,Dominican Republic,Ozama
Sanming,China,Fujian
Tashkent,Uzbekistan,Toshkent
Longba,China,Gansu
Yangjiang,China,Guangdong
Jiamusi,China,Heilongjiang
Luohe,China,Henan
Lincang,China,Yunnan
Medellin,Colombia,Antioquia
Xuanzhou,China,Anhui
Yunfu,China,Guangdong
Shaoxing,China,Zhejiang
Yantai,China,Shandong
Huizhou,China,Guangdong
Lishui,China,Zhejiang
Mirzapur,India,Uttar Pradesh
Hamburg,Germany,Hamburg
Guangyuan,China,Sichuan
Cali,Colombia,Valle del Cauca
Lusaka,Zambia,Lusaka
Huangshi,China,Hubei
Xining,China,Qinghai
Ouagadougou,Burkina Faso,Centre
Daegu,South Korea,Daegu
Fortaleza,Brazil,Ceara
Yaounde,Cameroon,Centre
Jilin,China,Jilin
Dandong,China,Liaoning
Zhuhai,China,Guangdong
Lianshan,China,Liaoning
Yingkou,China,Liaoning
Antalya,Turkey,Antalya
Nagpur,India,Maharashtra
Queens,United States,New York
Accra,Ghana,Greater Accra
Bekasi,Indonesia,Jawa Barat
Ghaziabad,India,Uttar Pradesh
Yuxi,China,Yunnan
Luoyang,China,Henan
Brisbane,Australia,Queensland
Anshun,China,Guizhou
Depok,Indonesia,Jawa Barat
Shangzhou,China,Shaanxi
Huainan,China,Anhui
Colombo,Sri Lanka,Western
Kuaidamao,China,Jilin
Baku,Azerbaijan,Bakı
Fukuoka,Japan,Fukuoka
Yan'an,China,Shaanxi
Jincheng,China,Shanxi
Vancouver,Canada,British Columbia
Nantong,China,Jiangsu
Tangerang,Indonesia,Jawa Barat
Caracas,Venezuela,Distrito Capital
Sanmenxia,China,Henan
Laibin,China,Guangxi
Konya,Turkey,Konya
Manaus,Brazil,Amazonas
Esfahan,Iran,Esfahan
Qinbaling,China,Gansu
Baltimore,United States,Maryland
Ma'anshan,China,Anhui
Shengli,China,Shandong
Gaoping,China,Sichuan
Taizhou,China,Zhejiang
Harare,Zimbabwe,Harare
Kowloon,Hong Kong,
Las Vegas,United States,Nevada
Havana,Cuba,La Habana
Perth,Australia,Western Australia
Phnom Penh,Cambodia,Phnom Penh
Puning,China,Guangdong
Huaibei,China,Anhui
Qingyang,China,Fujian
Haiphong,Vietnam,Hai Phòng
Chongzuo,China,Guangxi
Rawalpindi,Pakistan,Punjab
Yushan,China,Jiangsu
St. Louis,United States,Missouri
Kumasi,Ghana,Ashanti
Vadodara,India,Gujarat
Hezhou,China,Guangxi
Pingliang,China,Gansu
Portland,United States,Oregon
Vishakhapatnam,India,Andhra Pradesh
Gujranwala,Pakistan,Punjab
Baicheng,China,Jilin
Gaziantep,Turkey,Gaziantep
Fushun,China,Liaoning
Riverside,United States,California
Bamako,Mali,Bamako
Quito,Ecuador,Pichincha
Minsk,Belarus,Minsk
Tijuana,Mexico,Baja California
Bamenda,Cameroon,North-West
Boosaaso,Somalia,Bari
Indore,India,Madhya Pradesh
Sanliurfa,Turkey,sanlıurfa
Vienna,Austria,Wien
Karaj,Iran,Alborz
Kananga,Congo (Kinshasa),Kasai Central
Peshawar,Pakistan,Khyber Pakhtunkhwa
Sapporo,Japan,HokkaidO
Ecatepec,Mexico,Mexico
Pingxiang,China,Jiangxi
Orlando,United States,Florida
Aleppo,Syria,Halab
Sacramento,United States,California
Almaty,Kazakhstan,
San Juan,Puerto Rico,Puerto Rico
San Antonio,United States,Texas
Yinchuan,China,Ningxia
Thane,India,Maharashtra
Santos,Brazil,Sao Paulo
Blantyre,Malawi,Blantyre
Bucharest,Romania,Bucuresti
Curitiba,Brazil,Parana
Multan,Pakistan,Punjab
Tainan,Taiwan,Tainan
Xiping,China,Shanxi
Port Harcourt,Nigeria,Rivers
Warsaw,Poland,Mazowieckie
Jixi,China,Heilongjiang
Saidu Sharif,Pakistan,Khyber Pakhtunkhwa
Liaoyang,China,Liaoning
Beihai,China,Guangxi
Meru,Kenya,Meru
Brazzaville,Congo (Brazzaville),Brazzaville
Fuxin,China,Liaoning
Wuwei,China,Gansu
Mersin,Turkey,Mersin
Bhopal,India,Madhya Pradesh
Lubumbashi,Congo (Kinshasa),Haut-Katanga
Denpasar,Indonesia,Bali
Davao,Philippines,Davao
Shuyangzha,China,Jiangsu
Adana,Turkey,Adana
Damascus,Syria,Dimashq
Brussels,Belgium,Brussels-Capital Region
Hyderabad City,Pakistan,Sindh
Diyarbakir,Turkey,Diyarbakır
San Jose,United States,California
Chinchvad,India,Maharashtra
Montevideo,Uruguay,Montevideo
Pittsburgh,United States,Pennsylvania
Shuozhou,China,Shanxi
Cincinnati,United States,Ohio
Benxi,China,Liaoning
Baiyin,China,Gansu
Mosul,Iraq,Ninawa
Manhattan,United States,New York
Caloocan City,Philippines,Caloocan
Kampala,Uganda,Kampala
Patna,India,Bihar
Tegucigalpa,Honduras,Francisco Morazan
Cleveland,United States,Ohio
Sanzhou,China,Chongqing
Changshu,China,Jiangsu
Mecca,Saudi Arabia,Makkah al Mukarramah
Heihe,China,Heilongjiang
Jingdezhen,China,Jiangxi
Conakry,Guinea,Conakry
Recife,Brazil,Pernambuco
Indianapolis,United States,Indiana
Austin,United States,Texas
Sangereng,Indonesia,Jawa Barat
Kansas City,United States,Missouri
Zhongli,Taiwan,Taoyuan
Novosibirsk,Russia,Novosibirskaya Oblast’
Bilaspur,India,Chhattisgarh
Semarang,Indonesia,Jawa Tengah
Ludhiana,India,Punjab
Narayanganj,Bangladesh,Dhaka
Stockholm,Sweden,Stockholm
Chengtangcun,China,Shandong
Agra,India,Uttar Pradesh
Balandougou,Mali,Kayes
Agwar,India,Uttar Pradesh
Leon de los Aldama,Mexico,Guanajuato
Yopougon,Cote d'Ivoire,Abidjan
Puebla,Mexico,Puebla
Madurai,India,Tamil Nadu
Hebi,China,Henan
Cordoba,Argentina,Cordoba
Shiraz,Iran,Fars
Jamshedpur,India,Jharkhand
Tabriz,Iran,az̄arbayjan-e Sharqi
Huzhou,China,Zhejiang
Columbus,United States,Ohio
Sofia,Bulgaria,Sofia-Grad
Kawasaki,Japan,Kanagawa
San Jose,Costa Rica,San Jose
Aba,Nigeria,Abia
Palembang,Indonesia,Sumatera Selatan
Zhangjiajie,China,Hunan
Kobe,Japan,HyOgo
Jiaxing,China,Zhejiang
Charlotte,United States,North Carolina
Guiping,China,Guangxi
Lianjiang,China,Guangdong
Ximeicun,China,Fujian
Jianguang,China,Jiangxi
Yucheng,China,Sichuan
Panama City,Panama,Panama
Xushan,China,Zhejiang
Belem,Brazil,Para
Virginia Beach,United States,Virginia
Leizhou,China,Guangdong
Gwangju,South Korea,Gwangju
Nasik,India,Maharashtra
Porto Alegre,Brazil,Rio Grande do Sul
Valencia,Venezuela,Carabobo
Onitsha,Nigeria,Anambra
Abu Dhabi,United Arab Emirates,Abu Zaby
Daejeon,South Korea,Daejeon
Zapopan,Mexico,Jalisco
Bronx,United States,New York
Yekaterinburg,Russia,Sverdlovskaya Oblast’
Huazhou,China,Henan
Kyoto,Japan,KyOto
Jinhua,China,Zhejiang
Amsterdam,Netherlands,Noord-Holland
Shuangyashan,China,Heilongjiang
Pizhou,China,Jiangsu
El Kelaa des Srarhna,Morocco,Marrakech-Safi
Dakar,Senegal,Dakar
Kharkiv,Ukraine,Kharkivska Oblast
Yangshe,China,Jiangsu
Guyuan,China,Ningxia
Rui'an,China,Zhejiang
Khulna,Bangladesh,Khulna
Muscat,Oman,MasqaT
Wenling,China,Zhejiang
Gaozhou,China,Guangdong
Faridabad,India,Haryana
Chizhou,China,Anhui
Tel Aviv-Yafo,Israel,Tel Aviv
Ulaanbaatar,Mongolia,Ulaanbaatar
Goiania,Brazil,Goias
Fuqing,China,Fujian
Kayseri,Turkey,Kayseri
Wuzhong,China,Ningxia
Belgrade,Serbia,Beograd
Pingdu,China,Shandong
Milan,Italy,Lombardy
Aurangabad,India,Maharashtra
Copenhagen,Denmark,Hovedstaden
Yangquan,China,Shanxi
Yutan,China,Hunan
Huangshan,China,Anhui
Auckland,New Zealand,Auckland
Makassar,Indonesia,Sulawesi Selatan
Santiago,Dominican Republic,Cibao Norte
Milwaukee,United States,Wisconsin
Rajkot,India,Gujarat
Prague,Czechia,Praha
Samsun,Turkey,Samsun
Liangshi,China,Hunan
Barranquilla,Colombia,Atlantico
Saitama,Japan,Saitama
Guarulhos,Brazil,Sao Paulo
Al Basrah,Iraq,Al Basrah
Mandalay,Myanmar,Mandalay
Juarez,Mexico,Chihuahua
Xintai,China,Shandong
Wusong,China,Anhui
Meerut,India,Uttar Pradesh
Yushu,China,Jilin
Rongcheng,China,Yunnan
Huazhou,China,Guangdong
Adelaide,Australia,South Australia
Baishan,China,Jilin
Dayan,China,Yunnan
Haicheng,China,Liaoning
Tripoli,Libya,Tarabulus
Jiangyin,China,Jiangsu
Yicheng,China,Jiangsu
Huaiyin,China,Jiangsu
Porto,Portugal,Porto
Cacuaco,Angola,Luanda
Soweto,South Africa,Gauteng
Rosario,Argentina,Santa Fe
Canagatan,Philippines,Cagayan
Helsinki,Finland,Uusimaa
Jabalpur,India,Madhya Pradesh
Providence,United States,Rhode Island
Rucheng,China,Jiangsu
Nizhniy Novgorod,Russia,Nizhegorodskaya Oblast’
Ahvaz,Iran,Khuzestan
Jepara,Indonesia,Jawa Tengah
Shaoyang,China,Jiangsu
Comayaguela,Honduras,Francisco Morazan
Laiwu,China,Shandong
Sharjah,United Arab Emirates,Ash Shariqah
Kalamboli,India,Maharashtra
Jingling,China,Hubei
Kazan,Russia,Tatarstan
Suwon,South Korea,Gyeonggi
Yongcheng,China,Henan
Sumedang,Indonesia,Jawa Barat
Calgary,Canada,Alberta
Can Tho,Vietnam,Can Tho
Yiwu,China,Zhejiang
Bagam,Indonesia,Kepulauan Riau
Beidao,China,Gansu
Vasai,India,Maharashtra
Xiangshui,China,Guizhou
Jacksonville,United States,Florida
Akcaabat,Turkey,Trabzon
Campinas,Brazil,Sao Paulo
Dadukou,China,Sichuan
Mombasa,Kenya,Mombasa
Lingcheng,China,Guangxi
Najafgarh,India,Delhi
Vila Velha,Brazil,Amapa
Gazipura,Bangladesh,Dhaka
Chelyabinsk,Russia,Chelyabinskaya Oblast’
Varanasi,India,Uttar Pradesh
Xinyu,China,Jiangxi
Qom,Iran,Qom
Hargeysa,Somalia,Woqooyi Galbeed
Zhangye,China,Gansu
Hiroshima,Japan,Hiroshima
Maiduguri,Nigeria,Borno
