ID,Gender,Car_Owner,Prop_Owner,Children,Income,Income_Type,Education,Marital_Status,Housing_Type,Age_In_Years,Employed_In_Years,Family_Size,label
5008827,1,1,1,0,180000.0,1,1,1,1,51.0,-0.0,2,1
5009744,0,1,0,0,315000.0,0,1,1,1,37.0,2.0,2,1
5009894,0,0,0,0,180000.0,1,4,1,1,61.0,-0.0,2,1
5010864,1,1,1,1,450000.0,0,4,1,1,50.0,2.0,3,1
5010868,1,1,1,1,450000.0,1,4,1,1,50.0,2.0,3,1
5010869,1,1,1,1,450000.0,0,4,3,1,50.0,2.0,1,1
5018498,0,1,1,0,90000.0,3,4,1,1,52.0,3.0,2,1
5021303,1,0,0,1,472500.0,1,1,1,5,24.0,3.0,3,1
5021310,1,0,1,0,270000.0,3,4,1,1,46.0,1.0,2,1
5021314,1,0,1,0,270000.0,3,4,3,1,46.0,1.0,2,1
5021430,0,0,1,0,126000.0,0,1,3,1,52.0,7.0,1,1
5021998,1,0,1,0,90000.0,1,4,1,1,52.0,5.0,2,1
5022053,1,0,0,0,202500.0,3,1,3,1,35.0,12.0,1,1
5022617,1,1,1,0,202500.0,0,4,0,1,33.0,5.0,2,1
5023781,1,0,1,0,157500.0,0,1,0,1,49.0,3.0,2,1
5023831,0,0,1,2,112500.0,0,4,1,1,33.0,3.0,4,1
5024071,0,0,1,0,180000.0,3,1,1,1,44.0,2.0,2,1
5024213,0,1,1,0,540000.0,0,1,1,1,43.0,1.0,2,1
5024916,0,0,1,0,112500.0,1,4,1,1,60.0,-0.0,2,1
5028580,1,0,0,0,540000.0,0,1,1,1,55.0,2.0,2,1
5029028,0,0,1,0,90000.0,3,3,3,4,33.0,13.0,2,1
5029311,0,0,1,0,112500.0,1,4,1,1,60.0,-0.0,2,1
5033453,0,0,0,0,135000.0,3,1,3,1,29.0,7.0,1,1
5033514,0,1,0,1,135000.0,3,4,1,1,44.0,1.0,3,1
5033916,1,0,1,0,180000.0,3,4,1,1,36.0,10.0,2,1
5036469,1,1,0,0,112500.0,2,4,3,1,56.0,4.0,2,1
5036590,1,1,1,0,292500.0,3,1,1,1,58.0,2.0,2,1
5036660,0,1,1,0,76500.0,1,4,1,1,65.0,-0.0,2,1
5036795,1,1,1,0,215100.0,0,4,1,1,53.0,4.0,2,1
5041522,1,1,1,0,450000.0,0,1,2,1,44.0,2.0,1,1
5042064,0,1,0,2,270000.0,2,1,1,1,44.0,20.0,4,1
5045888,0,0,1,0,225000.0,1,4,3,1,64.0,-0.0,1,1
5046324,0,0,1,1,157500.0,0,4,3,1,42.0,6.0,3,1
5046328,0,0,1,1,157500.0,1,4,3,1,42.0,6.0,3,1
5047662,0,0,1,1,67500.0,0,4,1,1,52.0,11.0,3,1
5048300,1,1,0,1,180000.0,0,4,1,1,30.0,3.0,3,1
5050603,1,0,0,0,157500.0,3,4,1,1,50.0,20.0,2,1
5050671,1,0,0,0,171000.0,0,2,3,1,32.0,0.0,1,1
5051160,1,1,0,1,135000.0,3,4,1,1,26.0,2.0,3,1
5052659,0,0,1,0,103500.0,3,4,1,1,28.0,2.0,2,1
5052877,1,1,1,0,225000.0,3,4,1,1,49.0,9.0,2,1
5053254,0,1,1,0,180000.0,0,4,1,1,51.0,6.0,2,1
5054063,1,0,0,1,157500.0,3,4,1,1,45.0,4.0,3,1
5054068,1,0,0,1,157500.0,3,4,1,1,45.0,4.0,1,1
5054524,0,0,0,2,180000.0,3,4,1,1,46.0,23.0,4,1
5054525,0,0,0,2,180000.0,3,4,3,1,46.0,23.0,4,1
5058345,0,0,1,0,99000.0,1,1,2,1,67.0,-0.0,1,1
5058350,1,0,1,0,99000.0,1,1,2,1,67.0,-0.0,1,1
5058530,1,0,0,0,391500.0,3,4,3,2,25.0,1.0,1,1
5061360,1,0,1,0,65250.0,1,1,1,1,57.0,-0.0,2,1
5061396,1,0,1,0,72900.0,1,3,1,1,64.0,-0.0,2,1
5061636,0,0,1,0,225000.0,1,4,1,2,59.0,-0.0,2,1
5061691,0,0,1,1,67500.0,0,1,1,1,25.0,4.0,3,1
5062136,1,0,0,1,180000.0,3,4,3,1,35.0,0.0,2,1
5065348,0,1,1,0,202500.0,3,1,1,1,42.0,11.0,2,1
5065462,0,0,0,0,157500.0,0,4,1,1,52.0,4.0,2,1
5065518,0,1,0,1,202500.0,3,1,1,4,26.0,8.0,3,1
5068389,0,1,1,1,270000.0,3,1,2,1,38.0,0.0,2,1
5068456,0,1,0,0,135000.0,0,4,1,1,37.0,7.0,2,1
5069216,0,1,1,0,256500.0,0,1,1,1,31.0,5.0,2,1
5069218,0,1,1,0,256500.0,0,1,3,1,31.0,5.0,2,1
5069307,1,0,1,0,157500.0,3,4,1,1,43.0,4.0,2,1
5078820,0,0,0,2,225000.0,0,4,1,1,40.0,14.0,4,1
5078945,0,0,1,2,180000.0,3,2,2,1,34.0,10.0,3,1
5079166,1,1,0,0,202500.0,3,4,1,5,38.0,4.0,2,1
5085886,1,1,1,0,315000.0,0,1,1,1,51.0,3.0,2,1
5089162,0,1,0,0,225000.0,3,1,1,1,56.0,7.0,2,1
5089959,1,0,1,1,126000.0,0,4,0,1,35.0,6.0,3,1
5090166,0,0,1,1,675000.0,0,4,3,1,42.0,2.0,2,1
5090214,1,1,1,0,135000.0,3,4,1,1,29.0,1.0,2,1
5092087,1,1,1,2,247500.0,3,4,1,1,47.0,1.0,4,1
5092245,0,0,0,0,103500.0,1,4,1,1,61.0,-0.0,2,1
5092479,1,0,0,1,85500.0,2,4,1,2,41.0,19.0,3,1
5096527,0,0,0,0,135000.0,3,4,4,0,55.0,2.0,1,1
5096743,0,0,1,0,180000.0,3,3,4,1,46.0,6.0,1,1
5097065,0,0,1,0,121500.0,3,4,1,1,52.0,22.0,2,1
5100430,1,1,0,0,180000.0,3,4,3,1,45.0,2.0,1,1
5105045,1,0,1,0,225000.0,1,4,4,1,63.0,-0.0,1,1
5106077,0,0,1,0,135000.0,0,4,1,1,54.0,19.0,2,1
5113621,1,0,0,0,225000.0,3,4,4,2,53.0,1.0,1,1
5113933,0,0,0,0,67500.0,1,4,4,1,64.0,-0.0,1,1
5113944,0,1,0,0,135000.0,1,4,1,1,64.0,-0.0,2,1
5114249,1,0,0,1,130500.0,3,2,1,4,31.0,5.0,3,1
5115604,0,0,1,0,202500.0,3,4,1,1,40.0,9.0,2,1
5115611,0,0,1,0,202500.0,3,4,3,1,40.0,9.0,2,1
5116035,1,1,1,0,126000.0,3,1,3,1,40.0,2.0,1,1
5116301,0,0,1,0,180000.0,1,4,1,1,62.0,-0.0,2,1
5116906,1,1,1,0,211500.0,1,4,1,1,41.0,21.0,2,1
5117313,0,0,1,1,157500.0,0,4,1,1,36.0,11.0,3,1
5117413,0,0,0,0,81000.0,1,4,2,1,61.0,-0.0,1,1
5118046,0,0,0,0,81000.0,1,4,4,1,65.0,-0.0,1,1
5118275,0,0,0,0,112500.0,1,4,1,2,59.0,-0.0,2,1
5118280,0,0,0,0,112500.0,1,4,3,2,59.0,-0.0,2,1
5118283,1,0,0,0,112500.0,1,4,1,2,59.0,-0.0,2,1
5118541,0,0,1,0,72000.0,3,4,1,1,50.0,3.0,2,1
5125289,0,0,0,1,202500.0,3,4,2,1,38.0,0.0,2,1
