Name,Model,Subtitle,Acceleration,Top_Speed,Range,Efficiency,Fast_Charge,Drive_Type,No_Of_Seats,Germany_Price,UK_Price
Tesla,Model 3,57.5 kWh useable battery*          Available since December 2021,6.1 sec,225 km/h,405 km,142 Wh/km,680 km/h,Rear Wheel Drive,5,N/A,"£42,990"
Tesla,Model Y Long Range Dual Motor,75 kWh useable battery*          Available since February 2022,5.0 sec,217 km/h,435 km,172 Wh/km,670 km/h,All Wheel Drive,5,"€59,017","£52,990"
Tesla,Model 3 Long Range Dual Motor,75 kWh useable battery*          Available since November 2021,4.4 sec,233 km/h,485 km,155 Wh/km,750 km/h,All Wheel Drive,5,N/A,"£50,990"
BYD,ATTO 3,60.5 kWh useable battery          Available since August 2022,7.3 sec,160 km/h,330 km,183 Wh/km,370 km/h,Front Wheel Drive,5,"€44,625","£37,195"
Tesla,Model 3,57.5 kWh useable battery*          Available since September 2023,6.1 sec,201 km/h,420 km,137 Wh/km,700 km/h,Rear Wheel Drive,5,"€46,220","* £44,000"
Tesla,Model Y,57.5 kWh useable battery*          Available since November 2022,6.9 sec,217 km/h,350 km,164 Wh/km,580 km/h,Rear Wheel Drive,5,"€47,567","£44,990"
Tesla,Model 3 Long Range Dual Motor,75 kWh useable battery*          Available since September 2023,4.4 sec,201 km/h,505 km,149 Wh/km,780 km/h,All Wheel Drive,5,"€55,220","* £52,000"
MG,MG4 Electric 64 kWh,61.7 kWh useable battery          Available since October 2022,7.9 sec,160 km/h,360 km,171 Wh/km,560 km/h,Rear Wheel Drive,5,"€39,990","£29,495"
Tesla,Model 3 Performance,75 kWh useable battery*          Available since February 2022,3.3 sec,261 km/h,460 km,163 Wh/km,710 km/h,All Wheel Drive,5,N/A,"£57,990"
BMW,i4 eDrive40,80.7 kWh useable battery          Available since November 2021,5.7 sec,190 km/h,515 km,157 Wh/km,800 km/h,Rear Wheel Drive,5,"€59,200","£57,890"
Tesla,Model Y Performance,75 kWh useable battery*          Available since March 2022,3.7 sec,250 km/h,415 km,181 Wh/km,640 km/h,All Wheel Drive,5,"€63,667","£59,990"
Tesla,Model S Plaid,95 kWh useable battery*          Available since November 2022,2.1 sec,282 km/h,560 km,170 Wh/km,780 km/h,All Wheel Drive,5,"€110,970","* £100,000"
BMW,iX1 xDrive30,64.7 kWh useable battery          Available since November 2022,5.6 sec,180 km/h,370 km,175 Wh/km,530 km/h,All Wheel Drive,5,"€55,000","£53,295"
Smart,#1,62 kWh useable battery          Available since March 2023,6.7 sec,180 km/h,335 km,185 Wh/km,520 km/h,Rear Wheel Drive,5,"€42,490","£35,950"
Tesla,Model S Dual Motor,95 kWh useable battery*          Available since January 2023,3.2 sec,250 km/h,575 km,165 Wh/km,800 km/h,All Wheel Drive,5,"€95,970","* £85,000"
Renault,Megane E-Tech EV60 220hp,60 kWh useable battery          Available since April 2022,7.4 sec,160 km/h,380 km,158 Wh/km,530 km/h,Front Wheel Drive,5,"€46,600","£36,995"
Mercedes,EQE 350+,90.6 kWh useable battery          Available since April 2022,6.4 sec,210 km/h,525 km,173 Wh/km,780 km/h,Rear Wheel Drive,5,N/A,N/A
BYD,HAN,85.4 kWh useable battery          Available since March 2023,3.9 sec,180 km/h,475 km,180 Wh/km,450 km/h,All Wheel Drive,5,"€70,805",N/A
