,Name,Description,Price,Rating,Rating_Count,URL
0,FunBlast,"FunBlast DIY Plastic Building Blocks for Kids Puzzle Games for Kids, Toys for Children Educational & Learning Toy for Kids, Girls & Boys - (250+ Blocks with 38 Wheels) Multicolor (250 pieces)",₹359,3.8,14.1K+,https://www.amazon.in/FunBlast-Plastic-Building-Blocks-Puzzle/dp/B09QYXQCWY/ref=sr_1_5?keywords=building+blocks&qid=1692426352&sr=8-5
1,Humming,Humming Bird Kid's 80 Pcs Big Mega Sized Blocks Toys Building and Construction Block Set for Children Boys and Girls (Multicolor),₹299,4.1,96,https://www.amazon.in/Humming-Bird-Building-Construction-Multicolor/dp/B0BW7PBS92/ref=sr_1_6?keywords=building+blocks&qid=1692426352&sr=8-6
2,FunBlast,"FunBlast DIY Plastic Small Size Building Blocks for Kids, Puzzle for Children Educational & Learning Toy for Girls & Boys, (120+ Blocks with 22 Wheels) Multicolor",₹258,3.9,1.7K+,https://www.amazon.in/FunBlast-Plastic-Building-Blocks-Puzzle/dp/B0B5PJMVNF/ref=sr_1_7?keywords=building+blocks&qid=1692426352&sr=8-7
3,Adichai,"Adichai SMA 250+ Building Blocks with 38 Wheels Small Size Age 5+, Smart Activity Multi Color Fun Bricks for Kids, Toys for Kids Multicolor",₹339,3.9,15.4K+,https://www.amazon.in/Adichai-Building-Activity-Learning-Multicolor/dp/B09DK3GVVJ/ref=sr_1_8?keywords=building+blocks&qid=1692426352&sr=8-8
4,Adichai,"Adichai 150 PCS Including Attractive Windows Medium Sized Happy Home House Building Blocks with Smooth Rounded Edges, Toys for Kids, Multicolour",₹339,3.9,15.4K+,https://www.amazon.in/AdiChai-Including-Attractive-Windows-Building/dp/B0974W9SQL/ref=sr_1_9?keywords=building+blocks&qid=1692426352&sr=8-9
5,Webby,Webby Kid'S Abs Building Blocks Construction Set (Multicolor) - 250 Pieces,₹655,3.8,120,https://www.amazon.in/Webby-Building-Blocks-Construction-Multicolor/dp/B09RSPZQ9W/ref=sr_1_10?keywords=building+blocks&qid=1692426352&sr=8-10
6,Webby,Webby Plastic Building Blocks Construction (Multicolour) - Set of 500 Pieces,"₹1,179",4.0,96,https://www.amazon.in/Webby-Plastic-Building-Construction-Multicolour/dp/B078ZF6D97/ref=sr_1_11?keywords=building+blocks&qid=1692426352&sr=8-11
7,FunBlast,"FunBlast Train Engine Building Blocks for Kids - DIY Plastic Building Blocks for Kids Puzzle Games for Kids, Toys for Children Educational & Learning Toy for Kids, Girls & Boys (48 Pcs-Multicolor)",₹249,3.8,14.1K+,https://www.amazon.in/FunBlast-Train-Engine-Building-Blocks/dp/B0C3ZVB9LW/ref=sr_1_12?keywords=building+blocks&qid=1692426352&sr=8-12
8,Toyztrend,"Toyztrend Expert Building Blocks for Kids, 180+ Pieces Blocks. let Your Kid Make Everything he/she Dreams of. Improves Logical Thinking and Cognitive Skills of Kids, Multicolor",₹474,3.8,6.2K+,https://www.amazon.in/Toyztrend-Expert-Building-Blocks-Kids/dp/B075M76JDK/ref=sr_1_13?keywords=building+blocks&qid=1692426352&sr=8-13
9,FunBlast,"FunBlast Building Blocks for Kids with Wheel, Bag Packing, Best Toy for Kids/Boys/Children, Block Game (Multicolor, 34 Pcs and 16 Wheels) - 50 Pieces",₹379,3.8,14.1K+,https://www.amazon.in/FunBlast-Building-Blocks-Packing-Multicolor/dp/B07KYMYBXN/ref=sr_1_14?keywords=building+blocks&qid=1692426352&sr=8-14
10,Toyzone,Toyzone Building Blocks | Building Blocks Game | Educational Toy | Smart Activity Fun & Learning Blocks | Colorful Blocks | Block Puzzle | for Kids Age 1-7 Years (Building Blocks - 60 pcs),₹449,4.1,1.5K+,https://www.amazon.in/Building-Educational-Activity-Learning-Colorful/dp/B07KXQY9Q8/ref=sr_1_15?keywords=building+blocks&qid=1692426352&sr=8-15
11,HUMMING,"HUMMING BIRD Plastic Building Blocks for Kids Building Blocks Eductional & Learning Toy for Kids Puzzle Games for Kids, Toys for Children Girls & Boys, (100+ Blocks) -Made in India, Multi Color",₹199,3.6,27,https://www.amazon.in/HUMMING-BIRD-Building-Eductional-Learning/dp/B0BTTCTGQT/ref=sr_1_16?keywords=building+blocks&qid=1692426352&sr=8-16
12,Webby,Webby for Adult's Wooden Colorful Building Blocks Educational Game Toy - 48 Pieces,₹419,4.3,261,https://www.amazon.in/Webby-Wooden-Colorful-Building-Educational/dp/B07TVY4ZWL/ref=sr_1_17?keywords=building+blocks&qid=1692426352&sr=8-17
13,RUTV,"RUTV Building Block Game for Kids, Boys, Children - Certified European Safety Standards (100 Pieces Small Blocks Bag Packing, Best Gift Toy)",₹248,3.9,122,https://www.amazon.in/RUTV-Building-Block-Game-Children/dp/B0BLNN9L1L/ref=sr_1_18?keywords=building+blocks&qid=1692426352&sr=8-18
14,PLUSPOINT,"PLUSPOINT Building Blocks Set, Educational STEM Building Toys for Kids Brain Development & Hands-On Ability Improvement, Construction Toy for Preschool and Kindergarten Boys & Girls Aged 5+ (3115)","₹1,229",4.1,25,https://www.amazon.in/PLUSPOINT-Exclusive-Collection-Blocks-Different/dp/B08JQBKJGG/ref=sr_1_19?keywords=building+blocks&qid=1692426352&sr=8-19
15,HARRY,"HARRY & JAMES® Multi Colored 80+ Pcs Happy Home House Building Blocks with Attractive Windows and Smooth Rounded Edges Building Blocks for Kids, Block Game for Kids,Boys,Girls,Childrens(80+ Blocks)",₹249,3.6,71,https://www.amazon.in/HARRY-Colored-Building-Attractive-Childrens/dp/B09KLW52DV/ref=sr_1_20?keywords=building+blocks&qid=1692426352&sr=8-20
16,Maruti,"Maruti Building Block Game for Kids, Boys, Children - Certified European Safety Standards (100 Pieces Small Blocks Bag Packing, Best Gift Toy)",,,,https://www.amazon.in/Maruti-Building-Block-Game-Children/dp/B0CDCSL1VQ/ref=sr_1_25?keywords=building+blocks&qid=1692426352&sr=8-25
17,Gooyo,"Gooyo 301Y-13 Bullet Head Educational & Building Blocks Set | Best Learning Activity Bricks & Blocks & Indoor Game Toy Set | Best Gift for Kids/Boys/Girls/Children Toys (Multi Color, 180pcs)",₹149,4.2,694,https://www.amazon.in/Gooyo-Educational-Building-Learning-Activity/dp/B0BHSC8ZR6/ref=sr_1_26?keywords=building+blocks&qid=1692426352&sr=8-26
