,Name,Description,Price,Rating,Rating_Count,URL
0,Mangalam,Mangalam Camphor Tablet 100g Jar - Pack of 1,₹184,4.3,"13,384",https://www.amazon.in/Mangalam-Camphor-Tablets-Aarti-Meditation/dp/B0725N7D7D/ref=sr_1_5?keywords=camphor&qid=1692427358&sr=8-5
1,MANGALAM,"MANGALAM Bhimseni Camphor Chunks 100G Jar|Pack Of 1,Chunk",₹280,4.4,"13,987",https://www.amazon.in/Mangalam-Bhimseni-Camphor-Jar-100/dp/B07ZJSTTHM/ref=sr_1_6?keywords=camphor&qid=1692427358&sr=8-6
2,Mangalam,"Mangalam Camphor Pouch ( 500g Small Round, Pack of 1 )",₹712,4.3,"7,784",https://www.amazon.in/Mangalam-Camphor-Tablets-Aarti-Meditation/dp/B00ZR6KXUE/ref=sr_1_7?keywords=camphor&qid=1692427358&sr=8-7
3,Shubhkart,"Shubhkart Surabhi Pure Camphor Pouch for Puja, Meditation, Spirituality & Other Religious Rituals – 100g|Refreshing Fragrance| Aromatic Kapooram Tablets",₹149,4.2,42,https://www.amazon.in/Shubhkart-Camphor-Box-100-g/dp/B01KZA7L88/ref=sr_1_8?keywords=camphor&qid=1692427358&sr=8-8
4,Mangalam,"Mangalam CamPure Camphor Cone (Original) Pack Of 2 - Room, Car and Air Freshener & Mosquito Repellent",₹394,4.1,"14,383",https://www.amazon.in/Mangalam-CamPure-Original-Camphor-Cone/dp/B07P71JV55/ref=sr_1_9?keywords=camphor&qid=1692427358&sr=8-9
5,Shri,Shri Ganesh Premium Camphor Bhimseni Camphor (250g X 1 Jar),₹480,4.4,862,https://www.amazon.in/Shri-Ganesh-Premium-Camphor-Bhimseni/dp/B08LZTFVD4/ref=sr_1_10?keywords=camphor&qid=1692427358&sr=8-10
6,Mangalam,"Mangalam CamPure Camphor Cone (1 Original & 1 Sandalwood) Pack Of 2 - Room, Car and Air Freshener & Mosquito Repellent",₹394,4.1,"4,042",https://www.amazon.in/MANGALAM-Freshener-Repellent-Properties-Sandalwood/dp/B07ZJSK969/ref=sr_1_11?keywords=camphor&qid=1692427358&sr=8-11
7,Shubhkart,"Shubhkart Surabhi Pure Camphor Container for Puja, Meditation, Spirituality & Other Religious Rituals – 50g|Refreshing Fragrance| Aromatic Kapooram Tablets",₹89,4.2,73,https://www.amazon.in/Shubhkart-Container-Meditation-Spirituality-Religious/dp/B0B9MJ7LM2/ref=sr_1_12?keywords=camphor&qid=1692427358&sr=8-12
8,Shri,Shri Ganesh Premium Camphor Tablets (500g X 1 Jar),₹690,4.3,994,https://www.amazon.in/Shri-Ganesh-Premium-Camphor-Tablets/dp/B077BYH9NC/ref=sr_1_13?keywords=camphor&qid=1692427358&sr=8-13
9,Mangalam,"Mangalam CamPure Camphor Cone (Bhimseni) Pack Of 2 - Room, Car and Air Freshener & Mosquito Repellent",₹389,4.1,"1,457",https://www.amazon.in/Mangalam-CamPure-Camphor-Cone-Bhimseni/dp/B08R42F1KG/ref=sr_1_14?keywords=camphor&qid=1692427358&sr=8-14
