,Name,Description,Price,Rating,Rating_Count,URL
0,Apple,Apple EarPods with Lightning Connector,"₹1,699",4.4,"(15,280)",https://www.amazon.in/Apple-Original-MMTN2ZM-Lightning-Connector/dp/B01M1EEPOB/ref=sr_1_3?keywords=earpods&qid=1692426306&sr=8-3
1,boAt,"boAt Airdopes Atom 81 True Wireless Earbuds with Upto 50H Playtime, Quad Mics ENx™ Tech, 13MM Drivers,Super Low Latency(50ms), ASAP™ Charge, BT v5.3(Aero Blue)","₹1,199",3.6,"(11,810)",https://www.amazon.in/boAt-Airdopes-Atom-81-Wireless/dp/B0BKG83BTB/ref=sr_1_4?keywords=earpods&qid=1692426306&sr=8-4
2,boAt,"boAt Airdopes 170 TWS Earbuds with 50H Playtime, Quad Mics ENx™ Tech, Low Latency Mode, 13mm Drivers, ASAP™ Charge, IPX4, IWP™, Touch Controls & BT v5.3(Classic Black)","₹1,399",3.8,"(51,268)",https://www.amazon.in/boAt-Airdopes-170-Playtime-Controls/dp/B0BSGQTVP1/ref=sr_1_5?keywords=earpods&qid=1692426306&sr=8-5
3,Fireboltt,"Fireboltt Fire Pods Ninja Pro 402 TWS Earbuds with Enhanced ENC, Bluetooth V5.1, 25 Hours of Playtime, Voice Assistant, and Fire Charge Type-C Charging (Black)","₹1,299",4.2,(258),https://www.amazon.in/Fireboltt-Enhanced-Bluetooth-Playtime-Assistant/dp/B0C6F46GDY/ref=sr_1_6?keywords=earpods&qid=1692426306&sr=8-6
4,Blaupunkt,"Blaupunkt Newly Launched Btw100 Xtreme Truly Wireless Bluetooth Earbuds I 99H Playtime* I Quad Mic I Crispr Enc Tech I Gaming Mode I Turbovolt Charging I Bt Version 5.3 (Black),in-Ear",₹999,4.0,(345),https://www.amazon.in/Blaupunkt-Launched-Wireless-Bluetooth-Turbovolt/dp/B0C8NY7ZHQ/ref=sr_1_7?keywords=earpods&qid=1692426306&sr=8-7
5,Apple,Apple EarPods with 3.5mm Headphone Plug,"₹1,699",4.2,"(27,960)",https://www.amazon.in/Apple-Original-MNHF2ZM-Earpods-Headphone/dp/B06XDLJL26/ref=sr_1_8?keywords=earpods&qid=1692426306&sr=8-8
6,Anker,"Anker Soundcore R50i True Wireless In-Ear Earbuds (TWS), IPX5-Water Resistant, Clear Calls with Stereo Sound & High Bass, Super Low Latency, Soundcore Connect App with 22 Preset EQs, Soft Touch Control, Bluetooth 5.3 for Quick Connectivity, 30H+ Playtime, White Color","₹2,199",4.6,"(28,600)",https://www.amazon.in/Anker-Soundcore-IPX5-Water-Resistant-Connectivity/dp/B0C9XT6D3X/ref=sr_1_9?keywords=earpods&qid=1692426306&sr=8-9
7,Boult,"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.3 Ear Buds TWS (Brown)","₹1,199",3.9,"(7,685)",https://www.amazon.in/Boult-Audio-Wireless-Playtime-Bluetooth/dp/B0BQMY24QV/ref=sr_1_10?keywords=earpods&qid=1692426306&sr=8-10
8,TOZO,"TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Pink","₹1,999",4.4,"(15,972)",https://www.amazon.in/TOZO-A1-Light-Weight-Headphones-Microphone/dp/B09ZYDDRZF/ref=sr_1_11?keywords=earpods&qid=1692426306&sr=8-11
9,Anker,"Anker Soundcore R50i True Wireless In-Ear Earbuds (TWS), IPX5-Water Resistant, Clear Calls with Stereo Sound & High Bass, Super Low Latency, Soundcore Connect App with 22 Preset EQs, Soft Touch Control, Bluetooth 5.3 for Quick Connectivity, 30H+ Playtime, Black Color","₹2,199",4.4,"(80,872)",https://www.amazon.in/Anker-Soundcore-R50i-IPX5-Water-Connectivity/dp/B0C9MNT48D/ref=sr_1_12?keywords=earpods&qid=1692426306&sr=8-12
10,JBL,"JBL Wave 200 Wireless Earbuds (TWS) with Mic,20 Hours Playtime,Deep Bass Sound,Dual Connect Technology,Quick Charge,Comfort Fit Ergonomic Design,Voice Assistant Support for Mobiles (Black),in-Ear","₹2,499",3.4,"(7,557)",https://www.amazon.in/JBL-Bluetooth-Wireless-Playtime-Assistant/dp/B09XSJ8XF4/ref=sr_1_13?keywords=earpods&qid=1692426306&sr=8-13
11,ZEBRONICS,"ZEBRONICS Pods 2 Wireless TWS Earbuds with Bluetooth 5.3,Led Display,Voice Assistant,Call Function,Transparent Charging Case,Touch Control&Built-in Rechargeable Battery-Blue,in-Ear",₹699,3.5,"(1,226)",https://www.amazon.in/ZEBRONICS-Pods-Transparent-Rechargeable-Battery-Blue/dp/B0BYJWNFXZ/ref=sr_1_14?keywords=earpods&qid=1692426306&sr=8-14
12,pTron,"pTron Bassbuds Jade Truly Wireless Earbuds, 40ms Gaming Low Latency TWS, Stereo Calls, 40Hrs Playtime, Punchy Bass, in-Ear Bluetooth 5.0 Headphones, Fast Type-C Charging & IPX4 Waterproof (Matt Black)",₹999,4.2,(537),https://www.amazon.in/pTron-Bassbuds-Bluetooth-Headphones-Waterproof/dp/B0CBKSCTTR/ref=sr_1_15?keywords=earpods&qid=1692426306&sr=8-15
13,PTron,"PTron Bassbuds Tango in-Ear TWS Earbuds, TruTalk AI-ENC Calls, Movie Mode, 40Hrs Playtime, Bluetooth5.1 Headphone with HD Mics, Touch Control, IPX4 Water-Resistant & Type-C Fast Charging (Royal Blue)",₹899,4.2,(537),https://www.amazon.in/Bassbuds-Playtime-Bluetooth5-1-Headphone-Water-Resistant/dp/B0C7S2NPXX/ref=sr_1_16?keywords=earpods&qid=1692426306&sr=8-16
14,OnePlus,"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Deep Grey]. @INR 1999 with Bank Offer","₹2,199",4.2,"(37,725)",https://www.amazon.in/OnePlus-Wireless-Earbuds-Drivers-Playback/dp/B0C8JB3G5W/ref=sr_1_17?keywords=earpods&qid=1692426306&sr=8-17
15,boAt,"boAt Newly Launched Airdopes 141 Neo True Wireless Earbuds with 50 Hrs Playback,Beast Mode,Iwp Tech,Signature Sound,Quad Mics with Enx,ASAP Charge,USB Type-C Port&Ipx5(Lunar White),in-Ear","₹1,499",3.5,(299),https://www.amazon.in/boAt-Launched-Airdopes-141-Signature/dp/B0C7QSP7ZC/ref=sr_1_18?keywords=earpods&qid=1692426306&sr=8-18
16,pTron,"pTron Bassbuds Plus In-Ear TWS Earbuds with HD Mics, Bluetooth 5.0 Headphones with Immersive Sound, Stereo Calls, 28Hrs Playtime, Voice Assist Ready, IPX4 Water Resistant & Fast Charge (Electric Blue)",₹699,4.2 out of 5 stars,537,https://www.amazon.in/pTron-Bassbuds-Bluetooth-Headphones-Immersive/dp/B0C7S6WK2F/ref=sr_1_19?keywords=earpods&qid=1692426307&sr=8-19
17,boAt,"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Headphones with 42H Playtime,Low Latency Mode for Gaming, ENx Tech, IWP, IPX4 Water Resistance, Smooth Touch Controls(Cyan Cider)","₹1,299",3.8 out of 5 stars,203.1K+,https://www.amazon.in/Airdopes-141-Bluetooth-Wireless-Playtime/dp/B09N3XMZ5F/ref=sr_1_20?keywords=earpods&qid=1692426307&sr=8-20
18,boAt,"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight Earbuds & Multifunction Controls (Active Black, with Mic)","₹1,299",3.8 out of 5 stars,199.3K+,https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQN8DGZ/ref=sr_1_21?keywords=earpods&qid=1692426307&sr=8-21
19,PTron,"PTron Newly Launched Basspods P251 Bluetooth V5.1 in-Ear Wireless Earphones, 13mm Drivers, & Stereo Calls, 28Hrs Playtime, Touch Control TWS Earbuds, Voice Assist & IPX4 Water Resistant (Black)",₹699,2.9 out of 5 stars,664,https://www.amazon.in/Launched-Basspods-Bluetooth-Earphones-Resistant/dp/B0BZDFSPV4/ref=sr_1_22?keywords=earpods&qid=1692426307&sr=8-22
20,boAt,"boAt Airdopes Atom 81 True Wireless Earbuds with Upto 50H Playtime, Quad Mics ENx™ Tech, 13MM Drivers,Super Low Latency(50ms), ASAP™ Charge, BT v5.3(Opal Black)","₹1,199",3.6 out of 5 stars,11.8K+,https://www.amazon.in/boAt-Airdopes-Atom-81-Wireless/dp/B0BKG5PQ6T/ref=sr_1_23?keywords=earpods&qid=1692426307&sr=8-23
21,OnePlus,"OnePlus Nord Buds 2 True Wireless in Ear Earbuds with Mic, Upto 25dB ANC 12.4mm Dynamic Titanium Drivers, Playback:Upto 36hr case, 4-Mic Design, IP55 Rating, Fast Charging [Thunder Gray]","₹2,999",4.2 out of 5 stars,3.8K+,https://www.amazon.in/OnePlus-Wireless-Earbuds-Titanium-Playback/dp/B0BYJ6ZMTS/ref=sr_1_24?keywords=earpods&qid=1692426307&sr=8-24
22,Boult,"Boult Audio Newly Launched Z60 True Wireless in Ear Headphones with 60H Playtime, Quad Mic ENC, 50ms Low Latency Gaming, IPX5 Ear Buds TWS, Bluetooth 5.3, 13mm Bass Drivers Earbuds (Flamingo Pink)","₹1,499",4.0 out of 5 stars,373,https://www.amazon.in/Boult-Audio-Launched-Headphones-Bluetooth/dp/B0CBV1GYQY/ref=sr_1_25?keywords=earpods&qid=1692426307&sr=8-25
23,boAt,"boAt Immortal 121 TWS Wireless Gaming in Ear Earbuds with Beast Mode(40ms Low Latency), 40H Playtime, Blazing LEDs, Quad Mics ENx Signature Sound, ASAP Charge(10 Mins= 180 Mins)(Black Sabre)","₹1,499",3.7 out of 5 stars,3.4K+,https://www.amazon.in/boAt-Immortal-121-Wireless-Signature/dp/B0BKZFKQ3G/ref=sr_1_26?keywords=earpods&qid=1692426307&sr=8-26
24,boAt,"boAt Airdopes 190 True Wireless in Ear Earbuds with Beast Mode(50ms) for Gaming, 40H Playtime, Breathing LEDs, Signature Sound, Quad Mics Enx Tech, ASAP Charge & BT v5.3(Black Sabre)","₹1,399",3.7 out of 5 stars,6.2K+,https://www.amazon.in/boAt-Airdopes-190-Breathing-Signature/dp/B0BBTYDK6Y/ref=sr_1_27?keywords=earpods&qid=1692426307&sr=8-27
25,Noise,"Noise Buds VS104 Truly Wireless Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 min=200 min), 13mm Driver,Low Latency, BT v5.2 (Charcoal Black)","₹1,299",3.8 out of 5 stars,14.3K+,https://www.amazon.in/Noise-Bluetooth-Wireless-30-Hours-Instacharge/dp/B09Y5MP7C4/ref=sr_1_28?keywords=earpods&qid=1692426307&sr=8-28
26,boAt,"boAt Airdopes Atom 81 True Wireless Earbuds with Upto 50H Playtime, Quad Mics ENx™ Tech, 13MM Drivers,Super Low Latency(50ms), ASAP™ Charge, BT v5.3(Pearl White)","₹1,199",3.6 out of 5 stars,11.8K+,https://www.amazon.in/boAt-Airdopes-Atom-81-Wireless/dp/B0BKGCDJLQ/ref=sr_1_29?keywords=earpods&qid=1692426307&sr=8-29
27,OnePlus,"OnePlus Nord Buds True Wireless in Ear Earbuds with Mic, 12.4mm Titanium Drivers, Playback:Up to 30hr case, 4-Mic Design + AI Noise Cancellation, IP55 Rating, Fast Charging (Black Slate)","₹2,799",4.2 out of 5 stars,37.7K+,https://www.amazon.in/OnePlus-Wireless-Earbuds-Titanium-Playback/dp/B09ZHPN8W5/ref=sr_1_30?keywords=earpods&qid=1692426307&sr=8-30
28,boAt,"boAt Airdopes 121 Pro True Wireless Earbuds Signature Sound,Quad Mic Enx,Low Latency Mode for Gaming,50H Playtime,Iwp,Ipx4,Battery Indicator Screen(Royal Blue),in-Ear","₹1,199",3.8 out of 5 stars,199.3K+,https://www.amazon.in/boAt-Airdopes-121-Signature-Indicator/dp/B09YRWPFX7/ref=sr_1_31?keywords=earpods&qid=1692426307&sr=8-31
29,boAt,"boAt Airdopes 121 Pro True Wireless Earbuds Signature Sound,Quad Mic Enx,Low Latency Mode for Gaming,50H Playtime,Iwp,Ipx4,Battery Indicator Screen(Mint Cascade),in-Ear","₹1,099",3.8 out of 5 stars,199.3K+,https://www.amazon.in/boAt-Airdopes-121-Signature-Indicator/dp/B09YRXBB3X/ref=sr_1_32?keywords=earpods&qid=1692426307&sr=8-32
30,Noise,"Noise Buds VS104 Pro Truly Wireless Earbuds with 40H of Playtime, Quad Mic with ENC, Instacharge(10 min=150 min), 14.2mm Driver, Hyper Sync, BT v5.3 (Mint Green)","₹1,599",3.6 out of 5 stars,3.5K+,https://www.amazon.in/Noise-Wireless-Earbuds-Playtime-Instacharge/dp/B0B9788XQ2/ref=sr_1_33?keywords=earpods&qid=1692426307&sr=8-33
31,realme,"realme TechLife Buds T100 Bluetooth Truly Wireless in Ear Earbuds with mic, AI ENC for Calls, Google Fast Pair, 28 Hours Total Playback with Fast Charging and Low Latency Gaming Mode (Black)","₹1,499",4.0 out of 5 stars,10K+,https://www.amazon.in/realme-TechLife-Bluetooth-Wireless-Playback/dp/B0B8VBVVMW/ref=sr_1_34?keywords=earpods&qid=1692426307&sr=8-34
32,boAt,"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Headphones with 42H Playtime,Low Latency Mode for Gaming, ENx Tech, IWP, IPX4 Water Resistance, Smooth Touch Controls(Bold Black)","₹1,299",3.8,,https://www.amazon.in/Airdopes-141-Playtime-Resistance-Bluetooth/dp/B09N3ZNHTY/ref=sr_1_35?keywords=earpods&qid=1692426308&sr=8-35
33,OnePlus,"OnePlus Buds Z2 Bluetooth Truly Wireless in Ear Earbuds with mic, Active Noise Cancellation, 10 Minutes Flash Charge & Upto 38 Hours Battery (Obsidian Black)","₹4,999",4.2,,https://www.amazon.in/Oneplus-Obsidian-Bluetooth-Wireless-Cancellation/dp/B07XWBJ9L1/ref=sr_1_36?keywords=earpods&qid=1692426308&sr=8-36
34,ZEBRONICS,"ZEBRONICS Pods 2 Wireless TWS Earbuds with Bluetooth 5.3,Led Display,Voice Assistant,Call Function,Transparent Charging Case,Touch Control&Built-in Rechargeable Battery-Black,in-Ear",₹699,3.5,,https://www.amazon.in/ZEBRONICS-Pods-Transparent-Rechargeable-Battery-Black/dp/B0BYJSD8FQ/ref=sr_1_37?keywords=earpods&qid=1692426308&sr=8-37
35,Boult,"Boult Audio Z25 True Wireless in Ear Earbuds with 32H Playtime, 45ms Low Latency, Type-C Fast Charging (10=150Mins), Made in India, Zen ENC Mic, 13mm Bass Drivers, Bluetooth 5.3 Ear Buds (Candy Cane)","₹1,299",3.7,,https://www.amazon.in/Boult-Audio-Wireless-Playtime-Bluetooth/dp/B0BLHP3922/ref=sr_1_38?keywords=earpods&qid=1692426308&sr=8-38
36,Blaupunkt,Blaupunkt Newly Launched BTW300 BASS Buds Truly Wireless Bluetooth in Ear Earbuds I Bass Demon Tech I ENC CRISPR TECH I 40Hrs Playtime I TurboVolt Charging I BT Version 5.3 I 80ms Low Latency (Blue),"₹1,699",4.1,,https://www.amazon.in/Blaupunkt-Launched-BTW300-Bluetooth-TurboVolt/dp/B0BL1B3Y1H/ref=sr_1_39?keywords=earpods&qid=1692426308&sr=8-39
37,Noise,"Noise Buds VS104 Truly Wireless Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 min=200 min), 13mm Driver,Low Latency, BT v5.2 (Midnight Blue)","₹1,299",3.8,,https://www.amazon.in/Noise-Wireless-Bluetooth-30-Hours-Instacharge/dp/B09Y5LL6P4/ref=sr_1_40?keywords=earpods&qid=1692426308&sr=8-40
38,Boult,"Boult Audio X1 Buds True Wireless in Ear Earbuds with 24H Playtime, Quad Mic ENC, Made in India, Type-C Fast Charging, Environmental Noise Cancellation, 10mm Bass Drivers, TWS Airbass ear buds (White)","₹1,499",3.8,,https://www.amazon.in/Boult-Audio-Bluetooth-Resistant-Assistant/dp/B09WJ6ZR75/ref=sr_1_41?keywords=earpods&qid=1692426308&sr=8-41
