,Name,Description,Price,Rating,Rating_Count,URL
0,Men's,Men's Cotton Solid Formal/Semi Formal Shirt,₹398,3.4,,https://www.amazon.in/U-TURN-Cotton-Solid-Formal-Medium/dp/B0BT7C1Y86/ref=sr_1_5?keywords=men+formal+shirt&qid=1692428238&sr=8-5
1,Men's,Men's Regular Shirt,₹456.,3.9,,https://www.amazon.in/Amazon-Brand-Symbol-Regular-AW17MFS27_40_D-Green/dp/B073ZL123N/ref=sr_1_6?keywords=men+formal+shirt&qid=1692428238&sr=8-6
2,Men,Men Formal Shirt,₹699,3.9,,https://www.amazon.in/Diverse-Printed-Regular-Cotton-DVF01F2L01-263-40_Navy_40/dp/B075KK8SZ4/ref=sr_1_7?keywords=men+formal+shirt&qid=1692428238&sr=8-7
3,Men's,Men's Black Slim Formal Shirt (AW17MFS46_Maroon 39),₹599,3.5,,https://www.amazon.in/Amazon-Brand-Symbol-Formal-AW17MFS46_39_Maroon/dp/B073ZKJ2V1/ref=sr_1_8?keywords=men+formal+shirt&qid=1692428238&sr=8-8
4,Men's,Men's Black Slim Formal Shirt (AW17MFS45_Navy 2 40),₹563.,3.8,,https://www.amazon.in/Amazon-Brand-Symbol-Cotton-AW17MFS45_40_Navy/dp/B073ZKJ2SP/ref=sr_1_9?keywords=men+formal+shirt&qid=1692428238&sr=8-9
5,Men's,Men's Regular Fit Formal Shirt,₹699,3.7,,https://www.amazon.in/Diverse-Checkered-Regular-Shirt-DVF02F2L01-240_Lavender/dp/B09DK7FPM1/ref=sr_1_10?keywords=men+formal+shirt&qid=1692428238&sr=8-10
6,Men's,Men's Regular Fit Formal Shirt,₹581.,4.0,,https://www.amazon.in/Amazon-Brand-Symbol-Regular-SS20-SYM-FS-01_EPP-1A_White/dp/B081QJW5GG/ref=sr_1_11?keywords=men+formal+shirt&qid=1692428238&sr=8-11
7,Men,Men Shirt,"₹1,049",3.9,,https://www.amazon.in/Arrow-Light-Formal-Shirt-ARCBOSH0013_42/dp/B0C1SQRZ4J/ref=sr_1_12?keywords=men+formal+shirt&qid=1692428238&sr=8-12
8,Men,Men Shirt,₹929,3.8,,https://www.amazon.in/Arrow-Green-Formal-Shirt-ARCBOSH0020_40/dp/B0C1SR4GJT/ref=sr_1_13?keywords=men+formal+shirt&qid=1692428238&sr=8-13
9,Men's,Men's Slim Formal Shirt (AW17MFS40_L.Blue 40),₹599,3.9,,https://www.amazon.in/Amazon-Brand-Symbol-Formal-AW17MFS40_40_L-Blue/dp/B073ZLK8WZ/ref=sr_1_14?keywords=men+formal+shirt&qid=1692428238&sr=8-14
10,Men's,Men's Regular Fit Formal Shirt,₹679,3.8,,https://www.amazon.in/Amazon-Brand-Symbol-Regular-SYMFS-01_Fil100C_Lt/dp/B08FBNPQCN/ref=sr_1_15?keywords=men+formal+shirt&qid=1692428238&sr=8-15
11,Men,Men Shirt,"₹1,299",4.0,,https://www.amazon.in/Van-Heusen-Regular-VHSFBCUB518947_Light-Yellow/dp/B0C5F1F9NF/ref=sr_1_16?keywords=men+formal+shirt&qid=1692428238&sr=8-16
12,Men's,Men's Slim Formal Shirt (AW17MFS40_L.Blue 42),₹599,3.7,,https://www.amazon.in/Amazon-Brand-Symbol-Formal-AW17MFS40_42_L-Blue/dp/B073ZJTSHX/ref=sr_1_17?keywords=men+formal+shirt&qid=1692428238&sr=8-17
13,Men's,Men's Slim Formal Shirt (AW17MFS40_L.Blue 39),₹599,3.9,,https://www.amazon.in/Amazon-Brand-Symbol-Formal-AW17MFS40_39_L-Blue/dp/B073ZKJ2SW/ref=sr_1_18?keywords=men+formal+shirt&qid=1692428238&sr=8-18
14,Formal,Formal Shirt for Men || Shirt for Men || Men Stylish Shirt || Men Plain Shirt || Men Solid Shirt,₹499,4.2,,https://www.amazon.in/IndoPrimo-Formal-Shirt-Stylish-X-Large/dp/B0C6XCVFTY/ref=sr_1_19?keywords=men+formal+shirt&qid=1692428238&sr=8-19
15,Men's,Men's Slim Formal Shirt (AW17MFS34_Sky 40),₹599,3.7,,https://www.amazon.in/Amazon-Brand-Symbol-Formal-AW17MFS34_40_Sky/dp/B073ZJNMGK/ref=sr_1_20?keywords=men+formal+shirt&qid=1692428238&sr=8-20
16,Men's,Men's Regular Formal Shirt,₹599,3.8,,https://www.amazon.in/Diverse-Striped-Regular-Cotton-DVF01F1L01-404_40_Royal/dp/B0774XPF15/ref=sr_1_25?keywords=men+formal+shirt&qid=1692428238&sr=8-25
17,Slim,Slim Fit Cotton Blend Formal Shirts for Men,₹429,3.9,,https://www.amazon.in/Majestic-Man-Cotton-Formal-Shirts/dp/B0BLRF9L9W/ref=sr_1_26?keywords=men+formal+shirt&qid=1692428238&sr=8-26
18,Men's,Men's Black Slim Formal Shirt (AW17MFS44_Magenta 42),₹599,3.5,,https://www.amazon.in/Amazon-Brand-Symbol-Formal-AW17MFS44_42_Magenta/dp/B073ZJNNYN/ref=sr_1_27?keywords=men+formal+shirt&qid=1692428238&sr=8-27
19,Men,Men Formal Shirt,₹900,5.0,,https://www.amazon.in/Arrow-Checkered-Dobby-Formal-Shirt/dp/B0BT1QB5HT/ref=sr_1_28?keywords=men+formal+shirt&qid=1692428238&sr=8-28
