,Name,Description,Price,Rating,Rating_Count,URL
0,latex,latex 256+ Pcs Building Blocks Toy Set Creative Learning Educational & Intellectual Block Toys For Kids Boys and Girls  (Multicolor),₹365,3.7,"3,354 Ratings & 382 Reviews",https://www.flipkart.com/latex-256-pcs-building-blocks-toy-set-creative-learning-educational-intellectual-block-toys-kids-boys-girls/p/itmf3ae151a06258?pid=BLCG7Y8MCQZM66W6&lid=LSTBLCG7Y8MCQZM66W67ZDSKZ&marketplace=FLIPKART&q=building+blocks&store=tng%2Fll1%2Fe5o&srno=s_1_1&otracker=search&fm=organic&iid=en_GHEYLbwC3Syzs4HcenTQB6C8zxcO0M2rUowp3vdM0DZ2KDZ6MVHClSrelUE97hhSD-Dkwg74ubgfV6UN1sNW4g%3D%3D&ppt=None&ppn=None&ssid=th13oxniq80000001692356766498&qH=fa414a814eed0880
1,J,J K INTERNATIONAL Good Quality Wooden Domino Run Board Building Blocks Educational Toys  (Multicolor),₹189,4.8,112 Ratings & 96 Reviews,https://www.flipkart.com/j-k-international-good-quality-wooden-domino-run-board-building-blocks-educational-toys/p/itm5bee769da525a?pid=BLCGRH3M5RGVRQ8T&lid=LSTBLCGRH3M5RGVRQ8TLPW4GH&marketplace=FLIPKART&q=building+blocks&store=tng%2Fll1%2Fe5o&srno=s_1_5&otracker=search&fm=organic&iid=a4d20f4d-86d2-44df-a8d8-ba2fbb968387.BLCGRH3M5RGVRQ8T.SEARCH&ppt=None&ppn=None&ssid=th13oxniq80000001692356766498&qH=fa414a814eed0880
2,xelix,xelix Good Quality Wooden Domino Run Board Building Blocks (pack of 100 to 120pic)  (Multicolor),₹189,4.1,112 Ratings & 10 Reviews,https://www.flipkart.com/xelix-good-quality-wooden-domino-run-board-building-blocks-pack-100-120pic/p/itm8cdf5633405d1?pid=BLCGPYUP3DKHG2B4&lid=LSTBLCGPYUP3DKHG2B4ZGOR1Z&marketplace=FLIPKART&q=building+blocks&store=tng%2Fll1%2Fe5o&srno=s_1_9&otracker=search&fm=organic&iid=a4d20f4d-86d2-44df-a8d8-ba2fbb968387.BLCGPYUP3DKHG2B4.SEARCH&ppt=None&ppn=None&ssid=th13oxniq80000001692356766498&qH=fa414a814eed0880
3,GAMLOID,GAMLOID 50+Pcs Building Blocks Puzzle Games Educational & Learning Kids Toy  (Multicolor),₹114, , ,https://www.flipkart.com/gamloid-50-pcs-building-blocks-puzzle-games-educational-learning-kids-toy/p/itm5f05ca34c7e33?pid=BLCGRYQFDVZA6GTB&lid=LSTBLCGRYQFDVZA6GTBK9EISX&marketplace=FLIPKART&q=building+blocks&store=tng%2Fll1%2Fe5o&srno=s_1_13&otracker=search&fm=organic&iid=a4d20f4d-86d2-44df-a8d8-ba2fbb968387.BLCGRYQFDVZA6GTB.SEARCH&ppt=None&ppn=None&ssid=th13oxniq80000001692356766498&qH=fa414a814eed0880
4,toyden,toyden Roundle 32  (Multicolor),"₹1,079",4.1,61 Ratings & 2 Reviews,https://www.flipkart.com/toyden-roundle-32/p/itm66085c111a75c?pid=BLCGNCY5UZRXH2QG&lid=LSTBLCGNCY5UZRXH2QGOLIXOQ&marketplace=FLIPKART&q=building+blocks&store=tng%2Fll1%2Fe5o&srno=s_1_17&otracker=search&fm=organic&iid=en_GHEYLbwC3Syzs4HcenTQB6C8zxcO0M2rUowp3vdM0DbSlMQZOrLSVk93dswci7EbiCGmIP-41WfAdZd0DwT8Xw%3D%3D&ppt=None&ppn=None&ssid=th13oxniq80000001692356766498&qH=fa414a814eed0880
5,toyden,toyden Educational Play and Learn Plastic Building Block Set Pipes Block Puzzle( 90pcs)  (Multicolor),₹296, , ,https://www.flipkart.com/toyden-educational-play-learn-plastic-building-block-set-pipes-puzzle-90pcs/p/itm1a83c99e3b621?pid=BLCGNP774R3JGMRC&lid=LSTBLCGNP774R3JGMRC4QJHPH&marketplace=FLIPKART&q=building+blocks&store=tng%2Fll1%2Fe5o&srno=s_1_21&otracker=search&fm=organic&iid=en_GHEYLbwC3Syzs4HcenTQB6C8zxcO0M2rUowp3vdM0DbUUn7YGrWx-XDkKz-gP3zH0ec-pCA4PE_05FnhP21WAw%3D%3D&ppt=None&ppn=None&ssid=th13oxniq80000001692356766498&qH=fa414a814eed0880
6,RVM,RVM Toys Space Shuttle Rocket Launch Building Blocks Set 404Pcs Lego Compatible Brick Toy  (Multicolor),"₹2,399",3.6,5 Ratings & 1 Reviews,https://www.flipkart.com/rvm-toys-space-shuttle-rocket-launch-building-blocks-set-404pcs-lego-compatible-brick-toy/p/itmbb7c801dd6544?pid=BLCGCEGMGCVMHDSS&lid=LSTBLCGCEGMGCVMHDSSBI6MNX&marketplace=FLIPKART&q=building+blocks&store=tng%2Fll1%2Fe5o&srno=s_1_25&otracker=search&fm=organic&iid=a4d20f4d-86d2-44df-a8d8-ba2fbb968387.BLCGCEGMGCVMHDSS.SEARCH&ppt=None&ppn=None&ssid=th13oxniq80000001692356766498&qH=fa414a814eed0880
7,kluzie,"kluzie BEST BUY happy house Building Blocks,Creative /Learning Toy/Educational Toy/For Kids Puzzle Best Gift Toy, Block Game for Kids,Boys,Children  (Multicolor)",₹176,4.2,"2,618 Ratings & 193 Reviews",https://www.flipkart.com/kluzie-best-buy-happy-house-building-blocks-creative-learning-toy-educational-toy-for-kids-puzzle-gift-toy-block-game-kids-boys-children/p/itmd5878fff00254?pid=BLCG3HKVZSR5RAEE&lid=LSTBLCG3HKVZSR5RAEEARZVC2&marketplace=FLIPKART&q=building+blocks&store=tng%2Fll1%2Fe5o&srno=s_1_29&otracker=search&fm=organic&iid=a4d20f4d-86d2-44df-a8d8-ba2fbb968387.BLCG3HKVZSR5RAEE.SEARCH&ppt=None&ppn=None&ssid=th13oxniq80000001692356766498&qH=fa414a814eed0880
8,Bestie,"Bestie Toys Jenga Timber Tower Tumbling Game for Kids and Adults, Wood Block Game Classic (Big)  (Beige)",₹419,4.2,146 Ratings & 10 Reviews,https://www.flipkart.com/bestie-toys-jenga-timber-tower-tumbling-game-kids-adults-wood-block-classic-big/p/itm39eb3803066c1?pid=BLCGYVCFCKUJDWWZ&lid=LSTBLCGYVCFCKUJDWWZ6Z36L6&marketplace=FLIPKART&q=building+blocks&store=tng%2Fll1%2Fe5o&srno=s_1_33&otracker=search&fm=organic&iid=a4d20f4d-86d2-44df-a8d8-ba2fbb968387.BLCGYVCFCKUJDWWZ.SEARCH&ppt=None&ppn=None&ssid=th13oxniq80000001692356766498&qH=fa414a814eed0880
9,Toys,Toys N Smile 256+ Pcs Building Blocks Toy Set for Kids Creative & Intellectual Block Toys  (Multicolor),₹384,3.8,169 Ratings & 14 Reviews,https://www.flipkart.com/toys-n-smile-256-pcs-building-blocks-toy-set-kids-creative-intellectual-block/p/itmf0bb9c85b2c07?pid=BLCGKYG7NHZJSYPD&lid=LSTBLCGKYG7NHZJSYPDZMQLX2&marketplace=FLIPKART&q=building+blocks&store=tng%2Fll1%2Fe5o&srno=s_1_37&otracker=search&fm=organic&iid=en_GHEYLbwC3Syzs4HcenTQB6C8zxcO0M2rUowp3vdM0DaQd3o2hdu6I647NLevGgDSeUqRyKugakJpwSHZwrM5Fg%3D%3D&ppt=None&ppn=None&ssid=th13oxniq80000001692356766498&qH=fa414a814eed0880
