,Name,Description,Price,Rating,Rating_Count,URL
0,MANGALAM,MANGALAM Camphor Tablet 100g Jar - Pack of 1,₹184,4.4,"7,570 Ratings & 609 Reviews",https://www.flipkart.com/mangalam-camphor-tablet-100g-jar-pack-1/p/itm1c897d6f983d5?pid=HAIFZZ7GRBQTWTVN&lid=LSTHAIFZZ7GRBQTWTVNFTSRHT&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_1&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIFZZ7GRBQTWTVN.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
1,MANGALAM,MANGALAM Bhimseni Camphor 50 gm Jar - Pack of 1,₹150,4.3,"2,492 Ratings & 155 Reviews",https://www.flipkart.com/mangalam-bhimseni-camphor-50-gm-jar-pack-1/p/itme2e625aec3802?pid=HAIGA7QCU6UJTKSY&lid=LSTHAIGA7QCU6UJTKSYN6OHWK&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_2&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIGA7QCU6UJTKSY.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
2,MANGALAM,MANGALAM Camphor Tablet 250g Jar - Pack of 1,₹370,4.5,743 Ratings & 43 Reviews,https://www.flipkart.com/mangalam-camphor-tablet-250g-jar-pack-1/p/itm803cf21a6c493?pid=HAIFZZFFYZJUDGUN&lid=LSTHAIFZZFFYZJUDGUNFHDXBS&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_3&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIFZZFFYZJUDGUN.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
3,Camphor,Camphor Bhimseni Kapoor | Deshi Kapoor | Shudhh Karpur | 100 gram,₹260,4.2,473 Ratings & 34 Reviews,https://www.flipkart.com/camphor-bhimseni-kapoor-deshi-shudhh-karpur-100-gram/p/itmd902edb51e0fa?pid=HAIG3XCAUB7MZT5Y&lid=LSTHAIG3XCAUB7MZT5YBQGJZC&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_4&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIG3XCAUB7MZT5Y.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
4,MANGALAM,MANGALAM Bhimseni Camphor 100g Jar - Pack of 1,₹265,4.4,"3,483 Ratings & 260 Reviews",https://www.flipkart.com/mangalam-bhimseni-camphor-100g-jar-pack-1/p/itm5498bc3a94d07?pid=HAIFR2ATUU8JUJHR&lid=LSTHAIFR2ATUU8JUJHRLVTNZI&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_5&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIFR2ATUU8JUJHR.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
5,MANGALAM,MANGALAM Camphor Tablet 500g Pouch - Pack of 1,₹712,4.4,767 Ratings & 68 Reviews,https://www.flipkart.com/mangalam-camphor-tablet-500g-pouch-pack-1/p/itm0d88c60fe490b?pid=HAIFCY5JBBJQNMXR&lid=LSTHAIFCY5JBBJQNMXRGE181V&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_6&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIFCY5JBBJQNMXR.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
6,SBBCO,"SBBCO Combo Of 5 Face Puja Camphor Burner Lamp Panch Aarti Jyoti With Brass Nagpari Head Pooja Puja Bell Ghanti Brass  (2 Pieces, Gold)",₹384,4.2,32 Ratings & 4 Reviews,https://www.flipkart.com/sbbco-combo-5-face-puja-camphor-burner-lamp-panch-aarti-jyoti-brass-nagpari-head-pooja-bell-ghanti/p/itmcb190bc72931a?pid=PJTFYSM5WYBFRATB&lid=LSTPJTFYSM5WYBFRATB1RGEHR&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_7&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.PJTFYSM5WYBFRATB.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
7,Denique,"Denique Brass Embossed Kapoor Aarti Kapur Burner Brass, kapur Dani,Stand for dhoop Brass  (1 Pieces, Gold)",₹225,2.7,3 Ratings & 0 Reviews,https://www.flipkart.com/denique-brass-embossed-kapoor-aarti-kapur-burner-brass-dani-stand-dhoop/p/itm48b8ef4bb0471?pid=PJTGM4SVUBCHANYY&lid=LSTPJTGM4SVUBCHANYYJHOFLC&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_8&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.PJTGM4SVUBCHANYY.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
8,NAAYAGI,"NAAYAGI - PURE BRASS KAPOOR / CAMPHOR PLATE TO BURN CAMPHOR - MINI SIZE Brass  (1 Pieces, Gold)",₹675, , ,https://www.flipkart.com/naayagi-pure-brass-kapoor-camphor-plate-burn-mini-size/p/itm6a6e1650dfd7a?pid=PJTGQ22HGEGKZZTB&lid=LSTPJTGQ22HGEGKZZTBSF629N&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_9&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.PJTGQ22HGEGKZZTB.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
9,De-Ultimate,"De-Ultimate Combo of 5 Face Puja Camphor Burner Lamp Punch Aarti ( 1 No ) Diya With Copper Color Sun Face Wall Hanging Idol For Puja Purpose Brass  (2 Pieces, Gold)",₹317,4.5,21 Ratings & 3 Reviews,https://www.flipkart.com/de-ultimate-combo-5-face-puja-camphor-burner-lamp-punch-aarti-1-no-diya-copper-color-sun-wall-hanging-idol-purpose-brass/p/itmd95955f2c5e44?pid=PJTFUR9SETTCWUG3&lid=LSTPJTFUR9SETTCWUG3AIVHBO&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_10&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.PJTFUR9SETTCWUG3.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
10,De-Ultimate,De-Ultimate Combo of 5 Face Puja Camphor Burner Lamp Punch Aarti ( 1 No ) Diya With Brass Table Oil Ghee Lamp Puja ( 1 No Small Size ) Diya with Long Wooden Handle For Puja Purpose Brass  (Gold),₹451,3.7,114 Ratings & 12 Reviews,https://www.flipkart.com/de-ultimate-combo-5-face-puja-camphor-burner-lamp-punch-aarti-1-no-diya-brass-table-oil-ghee-small-size-long-wooden-handle-purpose/p/itmbaaf0517eda2b?pid=PJTFVSYZGTTXBGRW&lid=LSTPJTFVSYZGTTXBGRWIRE21H&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_11&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.PJTFVSYZGTTXBGRW.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
11,Stylewell,Stylewell Combo of 5 Face Puja Camphor Burner Lamp Punch Aarti ( 1 No ) Diya With Phool Batti Cotton Wicks (20 Pcs Wicks in Each Packet) Brass  (Gold),₹385, , ,https://www.flipkart.com/stylewell-combo-5-face-puja-camphor-burner-lamp-punch-aarti-1-no-diya-phool-batti-cotton-wicks-20-pcs-each-packet-brass/p/itm51e96c1313462?pid=PJTFWP9EGYSTUZMM&lid=LSTPJTFWP9EGYSTUZMMH7ZAKB&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_12&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.PJTFWP9EGYSTUZMM.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
12,M,M ahalakshmi Dcoration MLD_SHIVJI_P_K001 Prayer Kit,₹809, , ,https://www.flipkart.com/m-ahalakshmi-dcoration-mld-shivji-p-k001-prayer-kit/p/itm3aa1e5c8cbb5c?pid=PRKGECZKGBC2YQPG&lid=LSTPRKGECZKGBC2YQPGLAWSXN&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_13&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.PRKGECZKGBC2YQPG.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
