,Name,Description,Price,Rating,Rating_Count,URL
0,MILDIN ,Men Slim Fit Solid Spread Collar Formal Shirt,₹389,3.9,"32,913 ratings and 2,624 reviews",https://www.flipkart.com/mildin-men-solid-formal-purple-shirt/p/itmacb55ae804342?pid=SHTG9PS5BRZT9VPG&lid=LSTSHTG9PS5BRZT9VPGYI6IXP&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_1&otracker=search&fm=organic&iid=en_cu1-Ow2iCCYBDi1-6UrpWiakMBIvYP9ax2j84uY_2BrzhDk0W0Ywe-Lyvbo_7ByZqL4YOrHUZKv2AbcwZvIQmA%3D%3D&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
1,STONEBERG ,Men Slim Fit Solid Spread Collar Formal Shirt,₹413,3.9,"17,729 ratings and 1,341 reviews",https://www.flipkart.com/stoneberg-men-solid-formal-pink-shirt/p/itm4ad191f056f49?pid=SHTGEUM23J7ZZGWZ&lid=LSTSHTGEUM23J7ZZGWZMXXPFD&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_2&otracker=search&fm=organic&iid=en_cu1-Ow2iCCYBDi1-6UrpWiakMBIvYP9ax2j84uY_2BoJBgCfwyPKzDCXv291IzA24oHo4VfmNInMJ2wU9ThzGg%3D%3D&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
2,PETER ENGLAND ,Men Regular Fit Solid Formal Shirt,₹779,4.2,780 ratings and 57 reviews,https://www.flipkart.com/peter-england-men-solid-formal-blue-shirt/p/itm9b2791f9585ea?pid=SHTGAHWSZXJMBJ22&lid=LSTSHTGAHWSZXJMBJ22N59B3X&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_3&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGAHWSZXJMBJ22.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
3,VTEXX ,Men Regular Fit Solid Spread Collar Formal Shirt,₹299,4,"19,983 ratings and 1,468 reviews",https://www.flipkart.com/vtexx-men-solid-formal-maroon-shirt/p/itmd1e2b3ebb2f1c?pid=SHTGMG75KSPBFEZW&lid=LSTSHTGMG75KSPBFEZWHEYLSZ&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&spotlightTagId=FkPickId_clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_4&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGMG75KSPBFEZW.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
4,VTEXX ,Men Regular Fit Solid Spread Collar Formal Shirt,₹299,4,"19,983 ratings and 1,468 reviews",https://www.flipkart.com/vtexx-men-solid-formal-grey-shirt/p/itmc34659b21c380?pid=SHTGMK2YJZZQP9FS&lid=LSTSHTGMK2YJZZQP9FSDRE89W&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&spotlightTagId=BestsellerId_clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_5&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGMK2YJZZQP9FS.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
5,VeBNoR ,Men Regular Fit Solid Button Down Collar Formal Shirt,₹379,4,"1,11,435 ratings and 10,650 reviews",https://www.flipkart.com/vebnor-men-solid-formal-blue-shirt/p/itm015ddb52f97ab?pid=SHTG6ARR8EPQMPZA&lid=LSTSHTG6ARR8EPQMPZAZGWXH2&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_6&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTG6ARR8EPQMPZA.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
6,VTEXX ,Men Regular Fit Solid Spread Collar Formal Shirt,₹299,4,"19,983 ratings and 1,468 reviews",https://www.flipkart.com/vtexx-men-solid-formal-dark-green-shirt/p/itm608c788f02ed8?pid=SHTGMPQ5Z4PQGZ2A&lid=LSTSHTGMPQ5Z4PQGZ2AS9MBBV&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&spotlightTagId=BestsellerId_clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_7&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGMPQ5Z4PQGZ2A.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
7,NIVICK ,Men Slim Fit Solid Mandarin Collar Formal Shirt,₹366,4.1,"1,593 ratings and 115 reviews",https://www.flipkart.com/nivick-men-solid-formal-dark-green-shirt/p/itme2f3473321721?pid=SHTGA5QAYPFVGXFP&lid=LSTSHTGA5QAYPFVGXFPZDLEAK&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_8&otracker=search&fm=organic&iid=en_cu1-Ow2iCCYBDi1-6UrpWiakMBIvYP9ax2j84uY_2BrAf3tjwZDOri2mcnd_O2oix005x7Zo4lCBqORbzC4g-Q%3D%3D&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
8,PARK AVENUE ,Men Slim Fit Striped Formal Shirt,"₹1,004", , ,https://www.flipkart.com/park-avenue-men-striped-formal-dark-blue-shirt/p/itmce763d1b24830?pid=SHTGR4TFGNXAHVXK&lid=LSTSHTGR4TFGNXAHVXKLBGQML&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_9&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGR4TFGNXAHVXK.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
9,VTEXX ,Men Regular Fit Solid Spread Collar Formal Shirt,₹299,4,"19,983 ratings and 1,468 reviews",https://www.flipkart.com/vtexx-men-solid-formal-dark-blue-shirt/p/itm4dd971326b876?pid=SHTGMTDEZERRXZHN&lid=LSTSHTGMTDEZERRXZHNF5ANDG&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_10&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGMTDEZERRXZHN.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
